#,song_title,artist,page_title,views,genre
1501,Ya ya ya,P.A.W.N. Gang,"Ya ya ya, de l'àlbum ""Ya ya ya"" (P.A.W.N. Gang) - Viasona",39,música urbana
1502,Ramon Freixa,El Pont d'Arcalís,"Ramon Freixa, de l'àlbum ""De lluna vella"" (El Pont d'Arcalís) - Viasona",39,folk
1503,Cuando la noche tiende su manto,Abelardo Ninyo Hermós,"Cuando la noche tiende su manto, de l'àlbum ""Havaneres de llegenda 2"" (Abelardo Ninyo Hermós) - Viasona",39,havanera
1504,Mare Lola,Joan Manuel Serrat,"Mare Lola, de l'àlbum ""Mare Lola"" (Joan Manuel Serrat) - Viasona",39,cançó autor
1505,Pots pixar assegut,Xiula,"Pots pixar assegut, de l'àlbum ""Xiulalaland"" (Xiula) - Viasona",39,folk
1506,El pobre Carnestoltes,Toni Giménez,"El pobre Carnestoltes, de l'àlbum ""Cantalans"" (Toni Giménez) - Viasona",39,folk
1507,Sa teva esquena,Negre,"Sa teva esquena, de l'àlbum ""Encara un misteri"" (Negre) - Viasona",39,pop-rock
1508,Una fiblada a la pell,Els Pets,"Una fiblada a la pell, de l'àlbum ""Bon dia"" (Els Pets) - Viasona",39,pop-rock
1509,Abraça'm,Strombers,"Abraça'm, de l'àlbum ""Stromberland"" (Strombers) - Viasona",39,pop-rock
1510,La Bolangera,Al Tall,"La Bolangera, de l'àlbum ""Som de la pelitrúmpeli"" (Al Tall) - Viasona",39,folk
1511,Diània,Zoo,"Diània, de l'àlbum ""Llepolies"" (Zoo) - Viasona",39,música urbana
1512,El pingüí,Pep Puigdemont,"El pingüí, de l'àlbum ""Olor de festa"" (Pep Puigdemont) - Viasona",39,folk
1513,"Música, ràbia i amor",Xavi Sarrià,"Música, ràbia i amor, de l'àlbum ""Causa"" (Xavi Sarrià) - Viasona",39,cançó autor
1514,Dóna'm la mà,Lluís Llach,"Dóna'm la mà, de l'àlbum ""Temps de revoltes"" (Lluís Llach) - Viasona",39,cançó autor
1515,Si tu vas al cel,Rovell d'ou,"Si tu vas al cel, de l'àlbum ""Un Xic de Rock"" (Rovell d'ou) - Viasona",39,folk
1516,Una nit (Tan de bo),K-ZU,"Una nit (Tan de bo), de l'àlbum ""Una nit (Tan de bo)"" (K-ZU) - Viasona",39,pop-rock
