#,song_title,artist,page_title,views
51,El meu avi,Els Pescadors de L'Escala,"El meu avi, de l'àlbum ""Cançons de l'avi"" (Els Pescadors de L'Escala) - Viasona",519
52,Arrels,Esquirols,"Arrels, de l'àlbum ""Fent camí"" (Esquirols) - Viasona",516
53,Adéu,"Àlex Pérez, Eva Sola","Adéu, de l'àlbum ""Adéu"" (Àlex Pérez, Eva Sola) - Viasona",512
54,Tio Canya,Al Tall,"Tio Canya, de l'àlbum ""10 anys"" (Al Tall) - Viasona",506
55,Sort de tu,Oques Grasses,"Sort de tu, de l'àlbum ""Fruit del Deliri"" (Oques Grasses) - Viasona",491
56,T'estimo molt,Lax'n'Busto,"T'estimo molt, de l'àlbum ""A l'Apolo"" (Lax'n'Busto) - Viasona",483
57,Boig per tu,Sau,"Boig per tu, de l'àlbum ""Quina nit"" (Sau) - Viasona",476
58,La masovera,Ara va de bo,"La masovera, de l'àlbum ""Uni, dori"" (Ara va de bo) - Viasona",462
59,Els Reis de l'Orient,Mainasons,"Els Reis de l'Orient, de l'àlbum ""Nadales"" (Mainasons) - Viasona",461
60,El bandoler,Lluís Llach,"El bandoler, de l'àlbum ""El bandoler"" (Lluís Llach) - Viasona",452
61,"Si fa no fa, Rapunzel",La Ludwig Band,"Si fa no fa, Rapunzel, de l'àlbum ""Pel barri és comenta"" (La Ludwig Band) - Viasona",452
62,Tot el que ens queda,Ginestà,"Tot el que ens queda, de l'àlbum ""Només viure"" (Ginestà) - Viasona",449
63,Volem la pau,Dani Miquel,"Volem la pau, de l'àlbum ""Volem"" (Dani Miquel) - Viasona",446
64,La meva terra és el mar,Lax'n'Busto,"La meva terra és el mar, de l'àlbum ""Amb tu"" (Lax'n'Busto) - Viasona",444
65,Guapíssima,Banda Neon,"Guapíssima, de l'àlbum ""Guapíssima"" (Banda Neon) - Viasona",441
66,Fent camí,Esquirols,"Fent camí, de l'àlbum ""Fent camí"" (Esquirols) - Viasona",441
67,El gegant del pi,La Pataqueta,"El gegant del pi, de l'àlbum ""La Pataqueta"" (La Pataqueta) - Viasona",439
68,La cançó dels colors,Club Súper 3,"La cançó dels colors, de l'àlbum ""El cançoner del mic"" (Club Súper 3) - Viasona",431
69,Actitud,Buhos,"Actitud, de l'àlbum ""Actitud"" (Buhos) - Viasona",430
70,Ara que tinc vint anys,Joan Manuel Serrat,"Ara que tinc vint anys, de l'àlbum ""Ara que tinc vint anys"" (Joan Manuel Serrat) - Viasona",430
71,L'àguila negra,Maria del Mar Bonet,"L'àguila negra, de l'àlbum ""L'àguila negra"" (Maria del Mar Bonet) - Viasona",430
72,Rossinyol que vas a França,Sergi Dantí,"Rossinyol que vas a França, de l'àlbum ""Cançons essencials catalanes"" (Sergi Dantí) - Viasona",426
73,La balada d'en Lucas,"Nina, Port Bo","La balada d'en Lucas, de l'àlbum ""A prop del mar"" (Nina, Port Bo) - Viasona",423
74,No t'enyoro,Manel,"No t'enyoro, de l'àlbum ""Gent normal/ No t'enyoro/ El bròquil (la tortura)"" (Manel) - Viasona",423
75,La fera ferotge,Ovidi Montllor,"La fera ferotge, de l'àlbum ""La fera ferotge"" (Ovidi Montllor) - Viasona",419
76,Els ulls que et mirin,Sexenni,"Els ulls que et mirin, de l'àlbum ""Els ulls que et mirin"" (Sexenni) - Viasona",415
77,Perdre el cap,Ginestà,"Perdre el cap, de l'àlbum ""Perdre el cap"" (Ginestà) - Viasona",413
78,La tarara,Paco Muñoz,"La tarara, de l'àlbum ""Paco Muñoz canta per als xiquets 8"" (Paco Muñoz) - Viasona",402
79,Cançó dels baobabs,Companyia El Petit Príncep,"Cançó dels baobabs, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",400
80,"Quin dia feia, amics...",Manel,"Quin dia feia, amics..., de l'àlbum ""Atletes, baixin de l'escenari"" (Manel) - Viasona",398
81,El desembre congelat,La Carxofa i la Ceba amb en Victu Allioli,"El desembre congelat, de l'àlbum ""Nadales silvestres"" (La Carxofa i la Ceba amb en Victu Allioli) - Viasona",397
82,Una mosca volava per la llum,Club Súper 3,"Una mosca volava per la llum, de l'àlbum ""El cançoner del mic"" (Club Súper 3) - Viasona",390
83,La calma de la mar,Josep Maria Espinàs,"La calma de la mar, de l'àlbum ""Cançons tradicionals catalanes"" (Josep Maria Espinàs) - Viasona",390
84,El vanitós,Companyia El Petit Príncep,"El vanitós, de l'àlbum ""El Petit Príncep"" (Companyia El Petit Príncep) - Viasona",388
85,Que bonic!,La Ludwig Band,"Que bonic!, de l'àlbum ""Que bonic!"" (La Ludwig Band) - Viasona",382
86,Josep Maria,Sexenni,"Josep Maria, de l'àlbum ""Només música!"" (Sexenni) - Viasona",375
87,Cal que neixin flors a cada instant,Lluís Llach,"Cal que neixin flors a cada instant, de l'àlbum ""Cal que neixin flors a cada instant, A cara o creu"" (Lluís Llach) - Viasona",375
88,Tal dia farà un any,La Ludwig Band,"Tal dia farà un any, de l'àlbum ""Pel barri és comenta"" (La Ludwig Band) - Viasona",373
89,El casamiento de Maria la Xapa,"Pep Gimeno 'Botifarra', La Rondalla U.M. la Nucia","El casamiento de Maria la Xapa, de l'àlbum ""Botifarra a banda"" (Pep Gimeno 'Botifarra', La Rondalla U.M. la Nucia) - Viasona",370
90,Esbarzers,La Gossa Sorda,"Esbarzers, de l'àlbum ""La Polseguera"" (La Gossa Sorda) - Viasona",369
91,Ara arriba el Carnestoltes,Dàmaris Gelabert,"Ara arriba el Carnestoltes, de l'àlbum ""Cançons Populars & noves"" (Dàmaris Gelabert) - Viasona",360
