#,song_title,artist,page_title,views,genre
2001,Si tu vas al cel,The Penguins,"Si tu vas al cel, de l'àlbum ""Reggae per Xics"" (The Penguins) - Viasona",31,folk
2002,La guerra de l'enciam,La Trinca,"La guerra de l'enciam, de l'àlbum ""La Trinca. 20 anys de cançons"" (La Trinca) - Viasona",31,cançó autor
2003,La fornera de la ronda,Guillermina Motta,"La fornera de la ronda, de l'àlbum ""Remena nena"" (Guillermina Motta) - Viasona",31,folk
2004,Ses Pomes,Torrat i Bullit,"Ses Pomes, de l'àlbum ""Engabiats"" (Torrat i Bullit) - Viasona",31,folk
2005,Torroella vila vella,Port Bo,"Torroella vila vella, de l'àlbum ""Malalt d'amor"" (Port Bo) - Viasona",31,havanera
2006,Camals mullats,Meteor,"Camals mullats, de l'àlbum ""Camals mullats"" (Meteor) - Viasona",31,pop-rock
2007,La gran eufòria,Joan Dausà,"La gran eufòria, de l'àlbum ""Ara som gegants"" (Joan Dausà) - Viasona",31,cançó autor
2008,Com un puny,Raimon,"Com un puny, de l'àlbum ""Les cançons d'amor"" (Raimon) - Viasona",31,cançó autor
2009,La cabreta,La Trinca,"La cabreta, de l'àlbum ""L'orgue de gats"" (La Trinca) - Viasona",31,cançó autor
2010,La barca puja i baixa,Com sona?,"La barca puja i baixa, de l'àlbum ""Kaixes"" (Com sona?) - Viasona",31,folk
2011,L'u (Xàtiva),Alimara,"L'u (Xàtiva), de l'àlbum ""Cançons i danses del País Valencià"" (Alimara) - Viasona",31,folk
2012,La Gavina (Mambo Remix),31 FAM,"La Gavina (Mambo Remix), de l'àlbum ""La Gavina (Mambo Remix)"" (31 FAM) - Viasona",31,música urbana
2013,Bolero de Sant Pere,Raixa tradicional,"Bolero de Sant Pere, de l'àlbum ""Raixa va a plaça"" (Raixa tradicional) - Viasona",31,folk
2014,La meva amiga com un vaixell blanc,Ramon Muntaner,"La meva amiga com un vaixell blanc, de l'àlbum ""Cançó de carrer"" (Ramon Muntaner) - Viasona",31,cançó autor
2015,Dimoni pelut,"Ai, Ai, Ai","Dimoni pelut, de l'àlbum ""Neguits, Angúnies i Forats"" (Ai, Ai, Ai) - Viasona",31,rumba
2016,Mal de terra,De Gairó,"Mal de terra, de l'àlbum ""Mal de terra"" (De Gairó) - Viasona",31,pop-rock
