#,song_title,artist,page_title,views,genre
4001,Set poemes d´aniversari I i V,Hugo Mas,"Set poemes d´aniversari I i V, de l'àlbum ""Hugo Mas"" (Hugo Mas) - Viasona",17,cançó autor
4002,Sort que et tinc a tu,Andreu Valor,"Sort que et tinc a tu, de l'àlbum ""Els camins que elegim"" (Andreu Valor) - Viasona",17,cançó autor
4003,La riquesa,La Trinca,"La riquesa, de l'àlbum ""Opus 10"" (La Trinca) - Viasona",17,cançó autor
4004,La pastora,Marina Rossell,"La pastora, de l'àlbum ""Clàssics catalans"" (Marina Rossell) - Viasona",17,folk
4005,Anem,Roger Mas,"Anem, de l'àlbum ""Les Cançons Tel·lúriques"" (Roger Mas) - Viasona",17,cançó autor
4006,La Rambla,Quimi Portet,"La Rambla, de l'àlbum ""La Rambla"" (Quimi Portet) - Viasona",17,pop-rock
4007,Nai ti su,Orxata,"Nai ti su, de l'àlbum ""1.0"" (Orxata) - Viasona",17,música urbana
4008,La veritat és muda,Eduard Gener,"La veritat és muda, de l'àlbum ""Les avingudes"" (Eduard Gener) - Viasona",17,cançó autor
4009,Feel the rain,Dorigen,"Feel the rain, de l'àlbum ""La simfonia dels herois"" (Dorigen) - Viasona",17,pop-rock
4010,Cant de l'enyor,Lluís Llach,"Cant de l'enyor, de l'àlbum ""Camp del Barça. 6 de juliol de 1985"" (Lluís Llach) - Viasona",17,cançó autor
4011,Crim d'amor,Albert Pla,"Crim d'amor, de l'àlbum ""Ho sento molt"" (Albert Pla) - Viasona",17,cançó autor
4012,Corazon viajero,Txarango,"Corazon viajero, de l'àlbum ""Som riu"" (Txarango) - Viasona",17,pop-rock
4013,"Com el Far-West, no hi ha res",La Trinca,"Com el Far-West, no hi ha res, de l'àlbum ""Nou de trinca"" (La Trinca) - Viasona",17,cançó autor
4014,Demà canvie de vida,Quinto,"Demà canvie de vida, de l'àlbum ""Demà canvie de vida"" (Quinto) - Viasona",17,música urbana
4015,El pregó,La Trinca,"El pregó, de l'àlbum ""La Trinca. 20 anys de cançons"" (La Trinca) - Viasona",17,cançó autor
4016,Cançó de fer camí,Rusó Sala,"Cançó de fer camí, de l'àlbum ""Fil de coure"" (Rusó Sala) - Viasona",17,cançó autor
4017,Cançó d'anar a l'escola,"Josep Maria Espinàs, Francesc Burrull","Cançó d'anar a l'escola, de l'àlbum ""Cançons per encarrilar criatures"" (Josep Maria Espinàs, Francesc Burrull) - Viasona",17,folk
4018,Això és pecat,Tomeu Penya,"Això és pecat, de l'àlbum ""Això és pecat"" (Tomeu Penya) - Viasona",17,cançó autor
4019,La masovera,La Trinca,"La masovera, de l'àlbum ""L'orgue de gats"" (La Trinca) - Viasona",17,cançó autor
4020,El somni del temps,"Arnau Tordera, Secretariat de Corals Infantils de Catalunya","El somni del temps, de l'àlbum ""La màquina del temps"" (Arnau Tordera, Secretariat de Corals Infantils de Catalunya) - Viasona",17,folk
4021,Una illa per tu i per jo,Júlia Colom,"Una illa per tu i per jo, de l'àlbum ""Paradís"" (Júlia Colom) - Viasona",17,cançó autor
4022,Passarà el temps,Els Pets,"Passarà el temps, de l'àlbum ""Respira"" (Els Pets) - Viasona",17,pop-rock
4023,Bolero de s'Escandalari,Maria del Mar Bonet,"Bolero de s'Escandalari, de l'àlbum ""Cavall de foc"" (Maria del Mar Bonet) - Viasona",17,folk
4024,Hi ha vi després de la mort,Brams,"Hi ha vi després de la mort, de l'àlbum ""Hi ha vi després de la mort"" (Brams) - Viasona",17,pop-rock
4025,Ulls de corall,Txarango,"Ulls de corall, de l'àlbum ""El gran ball"" (Txarango) - Viasona",17,pop-rock
4026,Fora catalans dels Països Catalans,Ovidi4,"Fora catalans dels Països Catalans, de l'àlbum ""L’Ovidi se’n va a la Beckett"" (Ovidi4) - Viasona",17,cançó autor
4027,Escolta-ho en el vent,"Ramon Casajoana, Joan Boix","Escolta-ho en el vent, de l'àlbum ""Escolta-ho en el vent"" (Ramon Casajoana, Joan Boix) - Viasona",17,folk
