#,song_title,artist,page_title,views
3501,Ara que tinc vint anys,Joan Manuel Serrat,"Ara que tinc vint anys, de l'àlbum ""12 anys"" (Joan Manuel Serrat) - Viasona",19
3502,Cantares,Joan Manuel Serrat,"Cantares, de l'àlbum ""Serrat Sinfónico"" (Joan Manuel Serrat) - Viasona",19
3503,Així i tot,Ja t'ho diré,"Així i tot, de l'àlbum ""Es directe"" (Ja t'ho diré) - Viasona",19
3504,L'últim combat,Obrint Pas,"L'últim combat, de l'àlbum ""Benvingut al Paradís"" (Obrint Pas) - Viasona",19
3505,L'amor perdut,Joan Ramon Bonet,"L'amor perdut, de l'àlbum ""El vent em du"" (Joan Ramon Bonet) - Viasona",19
3506,1979,Joan Dausà,"1979, de l'àlbum ""Jo mai mai"" (Joan Dausà) - Viasona",19
3507,Jotes per la defensa de l'Ebre,"Quico el Célio, el Noi i el Mut de Ferreries","Jotes per la defensa de l'Ebre, de l'àlbum ""No es pot viure"" (Quico el Célio, el Noi i el Mut de Ferreries) - Viasona",19
3508,Vida,"Lluís Llach, Estrella Morente","Vida, de l'àlbum ""El disc de La Marató 2013"" (Lluís Llach, Estrella Morente) - Viasona",19
3509,Ies que mai,Good Jan,"Ies que mai, de l'àlbum ""Ies que mai"" (Good Jan) - Viasona",19
3510,Cançó de la llum,Al Tall,"Cançó de la llum, de l'àlbum ""Envit a vares"" (Al Tall) - Viasona",19
3511,Cançó de la lluna prenys,Tralla,"Cançó de la lluna prenys, de l'àlbum ""Com l'olor de la terra molla"" (Tralla) - Viasona",19
3512,Tot el que vull,"The Tyets, Hug Sound, Doble","Tot el que vull, de l'àlbum ""Tot el que vull"" (The Tyets, Hug Sound, Doble) - Viasona",19
3513,Oddavač še budu,Magalí Sare,"Oddavač še budu, de l'àlbum ""Descasada. Vol 1."" (Magalí Sare) - Viasona",19
3514,El mariner,Josep Tero,"El mariner, de l'àlbum ""Batecs d'ocells"" (Josep Tero) - Viasona",19
3515,Cançó de la núvia impacient,Maria del Mar Bonet,"Cançó de la núvia impacient, de l'àlbum ""Maria del Mar Bonet"" (Maria del Mar Bonet) - Viasona",19
3516,Cançó de suburbi,Toti Soler,"Cançó de suburbi, de l'àlbum ""Cançons disperses"" (Toti Soler) - Viasona",19
3517,"Roqueta, sa meua roca",Ressonadors,"Roqueta, sa meua roca, de l'àlbum ""Ressonadors Simfònic"" (Ressonadors) - Viasona",19
3518,El sol i la lluna,Maria del Mar Bonet,"El sol i la lluna, de l'àlbum ""Bon viatge faci la cadernera"" (Maria del Mar Bonet) - Viasona",19
3519,Penyora,Anna Andreu,"Penyora, de l'àlbum ""La mida"" (Anna Andreu) - Viasona",19
3520,Dol i fa sol,Xiula,"Dol i fa sol, de l'àlbum ""Babynova"" (Xiula) - Viasona",19
3521,Super-porno Star,Inventari,"Super-porno Star, de l'àlbum ""In-Directe"" (Inventari) - Viasona",19
3522,Dansa del vetlatori (Tabernes de la Valldigna),Alimara,"Dansa del vetlatori (Tabernes de la Valldigna), de l'àlbum ""Al aire de la terra"" (Alimara) - Viasona",19
3523,Resta portant-ne,Xiula,"Resta portant-ne, de l'àlbum ""5472m"" (Xiula) - Viasona",19
3524,La pluja,Toni Xuclà,"La pluja, de l'àlbum ""De poetes, cançonetes"" (Toni Xuclà) - Viasona",19
3525,Rikiti,Mama Dousha,"Rikiti, de l'àlbum ""La Criolla"" (Mama Dousha) - Viasona",19
3526,Mort de gana,La Trinca,"Mort de gana, de l'àlbum ""La Trinca. 20 anys de cançons"" (La Trinca) - Viasona",19
3527,Rumba del carnaval (bonus track),Gertrudis,"Rumba del carnaval (bonus track), de l'àlbum ""Política de verbena"" (Gertrudis) - Viasona",19
3528,Madame,Lluís Llach,"Madame, de l'àlbum ""Com un arbre nu"" (Lluís Llach) - Viasona",19
3529,M'aniré a la muntanya,Quico Pi de la Serra,"M'aniré a la muntanya, de l'àlbum ""Disc-conforme"" (Quico Pi de la Serra) - Viasona",19
3530,Llengües,Cabot,"Llengües, de l'àlbum ""Llengües"" (Cabot) - Viasona",19
3531,Tocant el cel amb la mà,Strombers,"Tocant el cel amb la mà, de l'àlbum ""Jrujenjúnjel"" (Strombers) - Viasona",19
3532,Tots som pops,La Trinca,"Tots som pops, de l'àlbum ""Tots som pops"" (La Trinca) - Viasona",19
3533,Un joc per moure el cos,Toni Giménez,"Un joc per moure el cos, de l'àlbum ""30 anys, 30 èxits"" (Toni Giménez) - Viasona",19
3534,La llet calenteta,Urbàlia Rurana,"La llet calenteta, de l'àlbum ""Pastorets i pastoretes"" (Urbàlia Rurana) - Viasona",19
