#,song_title,artist,page_title,views,genre
1001,Idil·li,Sons de mar,"Idil·li, de l'àlbum ""Idil·li"" (Sons de mar) - Viasona",54,havanera
1002,Tinc un conill,Ara va de bo,"Tinc un conill, de l'àlbum ""Cavallet de cartró"" (Ara va de bo) - Viasona",54,folk
1003,La Trinca,La Trinca,"La Trinca, de l'àlbum ""La Trinca. 20 anys de cançons"" (La Trinca) - Viasona",54,cançó autor
1004,L'escola que volem,Xiula,"L'escola que volem, de l'àlbum ""L'escola que volem"" (Xiula) - Viasona",54,folk
1005,SERÀ MILLOR,Naina,"SERÀ MILLOR, de l'àlbum ""Vives o mortes"" (Naina) - Viasona",54,música urbana
1006,Que el viatge sigui llarg,"Sara Roy, Ernest Prana","Que el viatge sigui llarg, de l'àlbum ""Que el viatge sigui llarg"" (Sara Roy, Ernest Prana) - Viasona",54,cançó autor
1007,"Tranquil·la, mama",La Ludwig Band,"Tranquil·la, mama, de l'àlbum ""Júlia / Tranqul·la, mama"" (La Ludwig Band) - Viasona",54,pop-rock
1008,Fins que arribi l'alba,Els Catarres,"Fins que arribi l'alba, de l'àlbum ""Tots els meus principis"" (Els Catarres) - Viasona",54,pop-rock
1009,L'olor a garrofa,Remigi Palmero,"L'olor a garrofa, de l'àlbum ""Humitat relativa"" (Remigi Palmero) - Viasona",54,cançó autor
1010,De la flor de la farina,"Quico el Célio, el Noi i el Mut de Ferreries, Pep Gimeno 'Botifarra'","De la flor de la farina, de l'àlbum ""La barraca"" (Quico el Célio, el Noi i el Mut de Ferreries, Pep Gimeno 'Botifarra') - Viasona",54,folk
1011,La ginesta,Xavier Ribalta,"La ginesta, de l'àlbum ""Canta a Joan Maragall"" (Xavier Ribalta) - Viasona",54,cançó autor
1012,Ho tenim tot,Joan Dausà,"Ho tenim tot, de l'àlbum ""Ho tenim tot"" (Joan Dausà) - Viasona",54,cançó autor
1013,Jota de morir,Marala,"Jota de morir, de l'àlbum ""Jota de morir"" (Marala) - Viasona",54,folk
1014,Amor d'Ultramar,Maria Jaume,"Amor d'Ultramar, de l'àlbum ""Sant Domingo Forever"" (Maria Jaume) - Viasona",54,cançó autor
1015,Petita,Vernat,"Petita, de l'àlbum ""Bernat"" (Vernat) - Viasona",54,pop-rock
1016,Un estel petit,Club Súper 3,"Un estel petit, de l'àlbum ""Mac, Mec, Mic!"" (Club Súper 3) - Viasona",54,folk
1017,L'hivern avança,gavina.mp3,"L'hivern avança, de l'àlbum ""L'hivern avança"" (gavina.mp3) - Viasona",54,pop-rock
1018,Lo país meu,Lluciana Sari,"Lo país meu, de l'àlbum ""Cançons de l'Alguer"" (Lluciana Sari) - Viasona",54,folk
1019,"Fum, lloc, d'excursió",Arribar i ploure,"Fum, lloc, d'excursió, de l'àlbum ""Fum, lloc, d'excursió"" (Arribar i ploure) - Viasona",54,pop-rock
1020,La dansà de Teranyina,Pep Gimeno 'Botifarra',"La dansà de Teranyina, de l'àlbum ""Ja ve l'aire"" (Pep Gimeno 'Botifarra') - Viasona",54,folk
1021,Sentir l’eternitat,Nia,"Sentir l’eternitat, de l'àlbum ""El disc de La Marató 2011"" (Nia) - Viasona",54,pop-rock
1022,El Cant de la Sardana,Esplai Sant Llorenç,"El Cant de la Sardana, de l'àlbum ""Orgull i símbol"" (Esplai Sant Llorenç) - Viasona",54,folk
1023,Valencianes (Albal),Alimara,"Valencianes (Albal), de l'àlbum ""Cançons i danses del País Valencià"" (Alimara) - Viasona",54,folk
1024,Tots els botons,Beth,"Tots els botons, de l'àlbum ""Segueix-me el fil"" (Beth) - Viasona",54,pop-rock
1025,15 segons,Mama Dousha,"15 segons, de l'àlbum ""Tothom té raó"" (Mama Dousha) - Viasona",53,música urbana
